Title,Year,Rating,Votes,Genres
Ford v. Ferrari,2019,8.1,540399,"Action, Biography, Drama"
Sherlock Jr.,1924,8.1,63403,"Action, Comedy, Romance"
Mary and Max,2009,8.1,198264,"Animation, Comedy, Drama"
The Deer Hunter,1978,8.1,379278,"Drama, War"
Le Salaire De La Peur,1953,8.1,71627,"Adventure, Drama, Thriller"
The General,1926,8.1,103945,"Action, Adventure, Comedy"
Mr. Smith Goes to Washington,1939,8.1,127287,"Comedy, Drama"
On the Waterfront,1954,8.1,174417,"Crime, Drama, Thriller"
Logan,2017,8.1,902393,"Action, Drama, Sci-Fi"
Rocky,1976,8.1,669600,"Drama, Sport"
Smultronstället,1957,8.1,121950,"Drama, Romance"
Tokyo Story,1953,8.1,75338,Drama
The Third Man,1949,8.1,191543,"Drama, Film-Noir, Mystery"
Spotlight,2015,8.1,524145,"Biography, Crime, Drama"
Maharaja,2024,8.4,73774,"Action, Crime, Drama"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1284456,"Action, Adventure, Fantasy"
The Terminator,1984,8.1,976680,"Action, Adventure, Sci-Fi"
The Big Lebowski,1998,8.1,899147,"Comedy, Crime"
La haine,1995,8.1,216399,"Crime, Drama"
Jai Bhim,2021,8.6,229038,"Crime, Drama"
Det Sjunde Inseglet,1957,8.1,211291,"Drama, Fantasy"
Room,2015,8.1,472080,"Drama, Thriller"
Hotel Rwanda,2004,8.1,386550,"Biography, Drama, History"
Platoon,1986,8.1,461366,"Drama, War"
The Best Years of Our Lives,1946,8.1,75701,"Drama, Romance, War"
Before Sunset,2004,8.1,306433,"Drama, Romance"
The Sound of Music,1965,8.1,281094,"Biography, Drama, Family"
The Exorcist,1973,8.1,484438,Horror
The Incredibles,2004,8.0,870368,"Animation, Action, Adventure"
Hachi: A Dog's Tale,2009,8.1,332953,"Biography, Drama, Family"
Rush,2013,8.1,544030,"Biography, Drama, Sport"
The Wizard of Oz,1939,8.1,455759,"Adventure, Family, Fantasy"
Eiga Koe No Katachi,2016,8.1,127446,"Animation, Drama"
La passion de Jeanne d'Arc,1928,8.1,66214,"Biography, Drama, History"
Stand by Me,1986,8.1,471260,"Adventure, Comedy, Drama"
The Iron Giant,1999,8.1,250013,"Animation, Action, Adventure"
My Father and My Son,2005,8.2,98562,"Drama, Family"
Ah-ga-ssi,2016,8.1,192882,"Drama, Romance, Thriller"
Network,1976,8.1,181909,Drama
La battaglia di Algeri,1966,8.1,72569,"Drama, War"
The Grapes of Wrath,1940,8.1,106338,Drama
To Be or Not to Be,1942,8.1,48042,"Comedy, Romance, War"
Into the Wild,2007,8.0,685183,"Adventure, Biography, Drama"
Demon Slayer: Mugen Train,2020,8.2,89358,"Animation, Action, Adventure"
The Help,2011,8.1,518507,Drama
Gangs of Wasseypur,2012,8.2,109939,"Action, Comedy, Crime"
Drishyam,2015,8.2,103787,"Crime, Drama, Mystery"
Groundhog Day,1993,8.0,724858,"Comedy, Drama, Fantasy"
